"ID","movie","director","actor_1","actor_2","actor_3","year","language","score"
4314,"Stealing Harvard","bruce mcculloch","martin starr","megan mullally","chris penn",2002,"English",5.1
4315,"Circle","aaron hann","jordi vilasuso","michael mclafferty","kaiwi lyman-mersereau",2015,"English",6
4316,"Eden Lake","james watkins","michael fassbender","jack o'connell","lorraine stanley",2008,"English",6.8
4317,"Plush","catherine hardwicke","frances fisher","james kyson","marlene forte",2013,"English",5.4
4318,"Vampire Killers","phil claydon","myanna buring","james corden","silvia colloca",2009,"English",5.2
4319,"Gangster's Paradise: Jerusalema","ralph ziman","rapulana seiphemo","kenneth nkosi","robert hobbs",2008,"English",7.8
4320,"Freeze Frame","john simpson","colin salmon","lee evans","ian mcneice",2004,"English",6.4
4321,"Grave Encounters","colin minihan","mackenzie gray","sean rogerson","ashleigh gryzko",2011,"English",6.1
4322,"Stitches","conor mcmahon","peter mcquinn","tommy knight","jemma curran",2012,"English",5.7
4323,"Nine Dead","chris shadley","daniel baldwin","william lee scott","marc macaulay",2010,"English",5.5
4324,"To Be Frank, Sinatra at 100","simon napier-bell","alice cooper","tim rice","louis walsh",2015,"English",7.4
4325,"Bananas","woody allen","woody allen","charlotte rae","louise lasser",1971,"English",7.1
4326,"Supercapitalist","simon yin","paul sheehan","linus roache","kathy uyen",2012,"English",3.9
4327,"Rockaway","jeff crook","nicholas gonzalez","mario cimarro","ricardo chavira",2007,"English",4.6
4328,"Wings","","steven weber","tim daly","amy yasbeck",NA,"English",7.3
4329,"The Lady from Shanghai","orson welles","rita hayworth","everett sloane","ted de corsia",1947,"English",7.7
4330,"No Man's Land: The Rise of Reeker","dave payne","mircea monroe","lew temple","robert pine",2008,"English",4.9
4331,"Highway","james cox","jake gyllenhaal","m.c. gainey","mark rolston",2002,"English",6.3
4332,"Small Apartments","jonas åkerlund","noel gugliemi","saffron burrows","matt lucas",2012,"English",6.1
4333,"Coffee Town","brad copeland","sunil narkar","ben schwartz","glenn howerton",2013,"English",6.6
4334,"The Ghastly Love of Johnny X","paul bunnell","kate maberly","kevin mccarthy","paul williams",2012,"English",5.7
4335,"All Is Bright","phil morrison","sally hawkins","curtiss cook","peter hermann",2013,"English",5.6
4336,"The Torture Chamber of Dr. Sadism","harald reinl","christopher lee","lex barker","karin dor",1967,"German",6
4337,"Straight A's","james cox","jon mack","powers boothe","josh meyers",2013,"English",5.7
4338,"A Funny Thing Happened on the Way to the Forum","richard lester","buster keaton","zero mostel","phil silvers",1966,"English",7
4339,"Slacker Uprising","michael moore","michael moore","eddie vedder","steve earle",2007,"English",5.3
4340,"The Legend of Hell's Gate: An American Conspiracy","tanner beard","william mcnamara","kevin alejandro","glenn morshower",2011,"English",4.4
4341,"The Walking Deceased","scott dow","trenton rostedt","wray crawford","dave sheridan",2015,"English",3.4
4342,"The Curse of Downers Grove","derick martini","kevin zegers","bella heathcote","tom arnold",2015,"English",4.5
4343,"Shark Lake","jerry dugan","melissa bolona","michael aaron milligan","james chalke",2015,"English",3.4
4344,"River's Edge","tim hunter","keanu reeves","daniel roebuck","ione skye",1986,"English",7.1
4345,"Northfork","michael polish","peter coyote","anthony edwards","jon gries",2003,"English",6.4
4346,"The Marine 4: Moving Target","william kaufman","paul mcgillion","mike 'the miz' mizanin","david lewis",2015,"English",5.2
4347,"Buried","rodrigo cortés","ryan reynolds","samantha mathis","erik palladino",2010,"English",7
4348,"Submarine","richard ayoade","craig roberts","paddy considine","sally hawkins",2010,"English",7.3
4349,"The Square","jehane noujaim","khalid abdalla","ahmed hassan","aida elkashef",2013,"Arabic",8.1
4350,"One to Another","pascal arnold","karl e. landler","lizzie brocheré","pierre perrier",2006,"French",5.8
4351,"Carrie","kimberly peirce","chloë grace moretz","judy greer","portia doubleday",2013,"English",5.9
4352,"ABCD (Any Body Can Dance)","remo","lauren gottlieb","remo","prabhudheva",2013,"Hindi",6.4
4353,"A Nightmare on Elm Street","wes craven","johnny depp","lin shaye","amanda wyss",1984,"English",7.5
4354,"Man on Wire","james marsh","paul mcgill","philippe petit","jean-louis blondeau",2008,"English",7.8
4355,"Abandoned","john laing","siobhan marshall","peter feeney","rachel nash",2015,"English",6.3
4356,"Brotherly Love","jamal hill","logan browning","adam ratcliffe","faizon love",2015,"English",7.2
4357,"The Last Exorcism","daniel stamm","caleb landry jones","ashley bell","patrick fabian",2010,"English",5.6
4358,"Nowhere Boy","sam taylor-johnson","kristin scott thomas","ophelia lovibond","anne-marie duff",2009,"English",7.2
4359,"A Streetcar Named Desire","elia kazan","marlon brando","karl malden","kim hunter",1951,"English",8
4360,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","stanley kubrick","george c. scott","slim pickens","keenan wynn",1964,"English",8.5
4361,"El crimen del padre Amaro","carlos carrera","damián alcázar","ana claudia talancón","pedro armendáriz jr.",2002,"Spanish",6.8
4362,"Beasts of the Southern Wild","benh zeitlin","quvenzhané wallis","gina montana","dwight henry",2012,"English",7.3
4363,"Battle for the Planet of the Apes","j. lee thompson","roddy mcdowall","paul williams","claude akins",1973,"English",5.5
4364,"Songcatcher","maggie greenwald","aidan quinn","david patrick kelly","jane adams",2000,"English",7.3
4365,"Higher Ground","vera farmiga","donna murphy","bill irwin","michael chernus",2011,"English",6.3
4366,"Vaalu","vijay chandar","hansika motwani","t.r. silambarasan","brahmanandam",2015,"Tamil",5.1
4367,"The Greatest Movie Ever Sold","morgan spurlock","quentin tarantino","j.j. abrams","donald trump",2011,"English",6.6
4368,"Ed and His Dead Mother","jonathan wacks","steve buscemi","gary farmer","jon gries",1993,"English",6.1
4369,"Travelers and Magicians","khyentse norbu","tshewang dendup","lhakpa dorji","sonam kinga",2003,"Dzongkha",7.5
4370,"Hang 'Em High","ted post","clint eastwood","bruce dern","alan hale jr.",1968,"English",7
4371,"Deadline - U.S.A.","richard brooks","humphrey bogart","jim backus","kim hunter",1952,"English",7.2
4372,"Sublime","tony krantz","george newbern","tom cavanagh","cas anvar",2007,"English",5.3
4373,"A Beginner's Guide to Snuff","mitchell altieri","kimberley crossman","luke edwards","bree williamson",2016,"English",8.7
4374,"Independence Daysaster","w.d. hogan","tom everett scott","keenan tracey","nicholas carella",2013,"English",3.4
4375,"Dysfunctional Friends","corey grant","christian keyes","essence atkins","tatyana ali",2012,"English",5.4
4376,"Run Lola Run","tom tykwer","moritz bleibtreu","ludger pistor","armin rohde",1998,"German",7.8
4377,"May","lucky mckee","james duval","will estes","nora zehetner",2002,"English",6.7
4378,"Against the Wild","richard boddington","natasha henstridge","cj adams","erin pitt",2013,"English",4.7
4379,"Living Dark: The Story of Ted the Caver","david hunt","matthew alan","chris cleveland","circus-szalewski",2013,"English",6.3
4380,"Under the Same Moon","patricia riggen","america ferrera","eugenio derbez","kate del castillo",2007,"Spanish",7.4
4381,"Conquest of the Planet of the Apes","j. lee thompson","roddy mcdowall","gordon jump","john randolph",1972,"English",6.1
4382,"In the Bedroom","todd field","tom wilkinson","sissy spacek","karen allen",2001,"English",7.5
4383,"I Spit on Your Grave","steven r. monroe","sarah butler","chad lindberg","daniel franzese",2010,"English",6.3
4384,"Happy, Texas","mark illsley","ally walker","illeana douglas","jeremy northam",1999,"English",6.3
4385,"My Summer of Love","pawel pawlikowski","paddy considine","natalie press","dean andrews",2004,"English",6.8
4386,"The Lunchbox","ritesh batra","nawazuddin siddiqui","nimrat kaur","lillete dubey",2013,"Hindi",7.8
4387,"Yes","sally potter","shirley henderson","joan allen","stephanie leonidas",2004,"English",6.9
4388,"You Can't Take It with You","frank capra","jean arthur","ann miller","lionel barrymore",1938,"English",8
4389,"From Here to Eternity","fred zinnemann","montgomery clift","donna reed","deborah kerr",1953,"English",7.8
4390,"She Wore a Yellow Ribbon","john ford","harry carey jr.","ben johnson","victor mclaglen",1949,"English",7.4
4391,"Grace Unplugged","brad j. silverman","shawnee smith","michael welch","anthony reynolds",2013,"English",6.1
4392,"Foolish","dave meyers","eddie griffin","clifton powell","marla gibbs",1999,"English",4.3
4393,"N-Secure","david m. matthews","essence atkins","lamman rucker","tempestt bledsoe",2010,"English",3.5
4394,"Caramel","nadine labaki","yasmine al massri","adel karam","nadine labaki",2007,"Arabic",7.2
4395,"Out of the Dark","lluís quílez","stephen rea","pixie davies","alejandro furth",2014,"English",4.7
4396,"The Bubble","eytan fox","ohad knoller","lior ashkenazi","yousef 'joe' sweid",2006,"Hebrew",7.3
4397,"The Conversation","francis ford coppola","harrison ford","teri garr","cindy williams",1974,"English",7.9
4398,"Dil Jo Bhi Kahey...","romesh sharma","annabelle wallis","revathy","bhoomika chawla",2005,"English",5.1
4399,"Mississippi Mermaid","françois truffaut","catherine deneuve","jean-paul belmondo","michel bouquet",1969,"French",7.2
4400,"I Love Your Work","adam goldberg","judy greer","marisa coughlan","nicky katt",2003,"English",5.4
4401,"Cabin Fever","travis zariwny","dustin ingram","gage golightly","samuel davis",2016,"English",3.7
4402,"Dawn of the Dead","zack snyder","ty burrell","kevin zegers","mekhi phifer",2004,"English",7.4
4403,"Waitress","adrienne shelly","lew temple","cheryl hines","eddie jemison",2007,"English",7.1
4404,"Bloodsport","newt arnold","bolo yeung","donald gibb","ken siu",1988,"English",6.8
4405,"Mr. Smith Goes to Washington","frank capra","claude rains","jean arthur","thomas mitchell",1939,"English",8.2
4406,"Kids","larry clark","rosario dawson","leo fitzpatrick","justin pierce",1995,"English",7
4407,"The Squid and the Whale","noah baumbach","william baldwin","elizabeth meriwether","owen kline",2005,"English",7.4
4408,"Kissing Jessica Stein","charles herman-wurmfeld","scott cohen","jennifer westfeldt","brian stepanek",2001,"English",6.7
4409,"A Woman, a Gun and a Noodle Shop","yimou zhang","honglei sun","ni yan","dahong ni",2009,"Mandarin",5.7
4410,"Kickboxer: Vengeance","john stockwell","matthew ziff","t.j. storm","sam medina",2016,"",9.1
4411,"Spellbound","alfred hitchcock","norman lloyd","rhonda fleming","leo g. carroll",1945,"English",7.6
4412,"Exotica","atom egoyan","bruce greenwood","mia kirshner","sarah polley",1994,"English",7.2
4413,"Buffalo '66","vincent gallo","anjelica huston","vincent gallo","jan-michael vincent",1998,"English",7.5
4414,"Insidious","james wan","lin shaye","barbara hershey","philip friedman",2010,"English",6.8
4415,"Repo Man","alex cox","del zamora","tracey walter","miguel sandoval",1984,"English",6.9
4416,"Nine Queens","fabián bielinsky","ricardo darín","gastón pauls","leticia brédice",2000,"Spanish",7.9
4417,"The Gatekeepers","dror moreh","ami ayalon","yuval diskin","yaakov peri",2012,"Hebrew",7.6
4418,"The Ballad of Jack and Rose","rebecca miller","beau bridges","susanna thompson","ryan mcdonald",2005,"English",6.7
4419,"The To Do List","maggie carey","donald glover","alia shawkat","scott porter",2013,"English",5.8
4420,"Killing Zoe","roger avary","eric stoltz","salvator xuereb","jean-hugues anglade",1993,"English",6.5
4421,"The Believer","henry bean","ryan gosling","theresa russell","summer phoenix",2001,"English",7.2
4422,"Snow Angels","david gordon green","michael angarano","connor paolo","tom noonan",2007,"English",6.9
4423,"Unsullied","simeon rice","ward g. smith","lisa brave","malone thomas",2014,"English",5.5
4424,"Session 9","brad anderson","paul guilfoyle","brendan sexton iii","larry fessenden",2001,"English",6.5
4425,"I Want Someone to Eat Cheese With","jeff garlin","jessy schram","jeff garlin","joey slotnick",2006,"English",6.2
4426,"Mooz-Lum","qasim basir","dorian missick","nia long","evan ross",2010,"English",6.7
4427,"Hatchet","adam green","joel david moore","kane hodder","joel murray",2006,"English",5.7
4428,"Modern Times","charles chaplin","paulette goddard","stanley blystone","fred malatesta",1936,"English",8.6
4429,"Stolen Summer","pete jones","brian dennehy","aidan quinn","bonnie hunt",2002,"English",6.5
4430,"My Name Is Bruce","bruce campbell","ted raimi","dan hicks","timothy patrick quill",2007,"English",6.3
4431,"The Salon","mark brown","vivica a. fox","monica calhoun","garrett morris",2005,"English",4.3
4432,"Road Hard","adam carolla","jay mohr","jim o'heir","david alan grier",2015,"English",6.1
4433,"Forty Shades of Blue","ira sachs","rip torn","jenny o'hara","darren e. burrows",2005,"English",6
4434,"Amigo","john sayles","brian lee franklin","john arcilla","ronnie lazaro",2010,"English",5.8
4435,"Pontypool","bruce mcdonald","stephen mchattie","georgina reilly","boyd banks",2008,"English",6.7
4436,"Trucker","james mottern","jimmy bennett","joey lauren adams","matthew lawrence",2008,"English",6.7
4437,"Me You and Five Bucks","jaime zevallos","angela sarafyan","jaime zevallos","michael elian",2015,"English",7.6
4438,"The Lords of Salem","rob zombie","sid haig","dee wallace","michael berryman",2012,"English",5.1
4439,"Housebound","gerard johnstone","morgana o'reilly","bruce hopkins","cameron rhodes",2014,"English",6.8
4440,"Wal-Mart: The High Cost of Low Price","robert greenwald","lee scott","jon hunter","matt hunter",2005,"English",6.8
4441,"Fetching Cody","david ray","nicole muñoz","sarah lind","kyla wise",2005,"English",6.8
4442,"Once Upon a Time in Queens","dave rodriguez","chazz palminteri","michael rapaport","paul sorvino",2013,"English",6.3
4443,"Closer to the Moon","nae caranfil","monica barladeanu","joe armstrong","martin hancock",2014,"English",7.1
4444,"Mutant World","david winning","ashanti","amber marshall","john desantis",2014,"English",2.8
4445,"Growing Up Smith","frank lotito","brighton sharbino","jake busey","tim guinee",2015,"English",8.2
4446,"Checkmate","timothy woodward jr.","katrina law","johnny messner","michael paré",2015,"English",3.1
4447,"Jack Reacher","christopher mcquarrie","tom cruise","robert duvall","david oyelowo",2012,"English",7
4448,"#Horror","tara subkoff","timothy hutton","balthazar getty","lydia hearst",2015,"English",3.3
4449,"Wind Walkers","russell friedenberg","rudy youngblood","glen powell","kiowa gordon",2015,"English",3.6
4450,"Snow White and the Seven Dwarfs","william cottrell","adriana caselotti","billy gilbert","lucille la verne",1937,"English",7.7
4451,"The Holy Girl","lucrecia martel","mía maestro","mercedes morán","maría alche",2004,"Spanish",6.7
4452,"Shalako","edward dmytryk","brigitte bardot","woody strode","honor blackman",1968,"English",5.5
4453,"Incident at Loch Ness","zak penn","zak penn","gabriel beristain","john bailey",2004,"English",6.6
4454,"The Dog Lover","alex ranarivelo","lea thompson","christina moore","cullen douglas",2016,"English",4.8
4455,"Girl House","jon knautz","camren bicondova","adam dimarco","chasty ballesteros",2014,"English",5.5
4456,"The Blue Room","mathieu amalric","mathieu amalric","léa drucker","laurent poitrenaux",2014,"French",6.3
4457,"House at the End of the Drive","david worth","jessica szohr","jonathan mangum","angela jones",2014,"English",6.9
4458,"Batman: The Movie","leslie h. martinson","burgess meredith","cesar romero","burt ward",1966,"English",6.5
4459,"Lock, Stock and Two Smoking Barrels","guy ritchie","jason statham","jason flemyng","dexter fletcher",1998,"English",8.2
4460,"The Ballad of Gregorio Cortez","robert m. young","barry corbin","bruce mcgill","ned beatty",1982,"English",7.1
4461,"The Streets of San Francisco","","karl malden","michael douglas","",NA,"English",7.3
4462,"The Celebration","thomas vinterberg","ulrich thomsen","paprika steen","trine dyrholm",1998,"Danish",8.1
4463,"Trees Lounge","steve buscemi","steve buscemi","debi mazar","carol kane",1996,"English",7.2
4464,"Journey from the Fall","ham tran","long nguyen","kieu chinh","cat ly",2006,"Vietnamese",7.4
4465,"The Basket","rich cowan","eric dane","karen allen","peter coyote",1999,"English",6.5
4466,"Eddie: The Sleepwalking Cannibal","boris rodriguez","stephen mchattie","thure lindhardt","georgina reilly",2012,"English",5.7
4467,"Mercury Rising","harold becker","bruce willis","miko hughes","carrie preston",1998,"English",6.1
4468,"Space: Above and Beyond","","james morrison","tucker smallwood","kristen cloke",NA,"English",7.7
4469,"Queen of the Mountains","sadyk sher-niyaz","elina abai kyzy","aziz muradillayev","mirlan abdulayev",2014,"English",8.7
4470,"Def-Con 4","paul donovan","maury chaykin","lenore zann","tim choate",1985,"English",4.3
4471,"The Hebrew Hammer","jonathan kesselman","judy greer","adam goldberg","tony cox",2003,"English",6.2
4472,"Neal 'N' Nikki","arjun sablok","abhishek bachchan","uday chopra","samantha mcleod",2005,"English",3.3
4473,"The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It","craig moss","noureen dewulf","bryan callen","matt crabtree",2010,"English",2.7
4474,"Forget Me Not","tyler oliver","bella thorne","chloe bridges","christopher atkins",2009,"English",5.2
4475,"Rebecca","alfred hitchcock","laurence olivier","joan fontaine","george sanders",1940,"English",8.2
4476,"Friday the 13th Part 2","steve miner","betsy palmer","adrienne king","amy steel",1981,"English",6.1
4477,"The Lost Weekend","billy wilder","ray milland","jane wyman","frank faylen",1945,"English",8
4478,"C.H.U.D.","douglas cheek","daniel stern","john heard","sam mcmurray",1984,"English",5.5
4479,"Filly Brown","youssef delara","noel gugliemi","jenni rivera","jorge diaz",2012,"English",5.7
4480,"The Lion of Judah","deryck broom","vic mignogna","omar benson miller","anupam kher",2011,"English",3.7
4481,"Niagara","henry hathaway","joseph cotten","jean peters","will wright",1953,"English",7.1
4482,"How Green Was My Valley","john ford","roddy mcdowall","walter pidgeon","barry fitzgerald",1941,"English",7.8
4483,"The Girlfriend Experience","","mary lynn rajskub","riley keough","paul sparks",NA,"English",7.3
4484,"Da Sweet Blood of Jesus","spike lee","rami malek","elvis nolasco","felicia pearson",2014,"English",4.1
4485,"Sex, Lies, and Videotape","steven soderbergh","peter gallagher","laura san giacomo","steven brill",1989,"English",7.2
4486,"Saw","james wan","michael emerson","monica potter","shawnee smith",2004,"English",7.7
4487,"Super Troopers","jay chandrasekhar","geoffrey arend","daniel von bargen","jay chandrasekhar",2001,"English",7.1
4488,"The Algerian","giovanni zelko","zuhair haddad","harry lennix","ben youcef",2014,"English",7.6
4489,"The Amazing Catfish","claudia sainte-luce","ximena ayala","vera wilson","josé manuel orozco angulo",2013,"Spanish",7
4490,"The Day the Earth Stood Still","scott derrickson","keanu reeves","jon hamm","juan riedinger",2008,"English",5.5
4491,"Monsoon Wedding","mira nair","naseeruddin shah","randeep hooda","lillete dubey",2001,"Hindi",7.4
4492,"You Can Count on Me","kenneth lonergan","matthew broderick","rory culkin","gaby hoffmann",2000,"English",7.7
4493,"The Trouble with Harry","alfred hitchcock","jerry mathers","john forsythe","royal dano",1955,"English",7.2
4494,"Lucky Number Slevin","paul mcguigan","bruce willis","morgan freeman","dorian missick",2006,"English",7.8
4495,"But I'm a Cheerleader","jamie babbit","natasha lyonne","clea duvall","eddie cibrian",1999,"English",6.6
4496,"Home Run","david boyd","vivica a. fox","drew waters","scott elrod",2013,"English",6
4497,"Reservoir Dogs","quentin tarantino","quentin tarantino","steve buscemi","chris penn",1992,"English",8.4
4498,"The Blue Bird","walter lang","spring byington","nigel bruce","gale sondergaard",1940,"English",6.5
4499,"The Good, the Bad and the Ugly","sergio leone","clint eastwood","luigi pistilli","enzo petito",1966,"Italian",8.9
4500,"The Second Mother","anna muylaert","alex huszar","regina casé","luis miranda",2015,"Portuguese",7.9
4501,"Blue Like Jazz","steve taylor","jason marsden","marshall allman","eric lange",2012,"English",6
4502,"Down and Out with the Dolls","kurt voss","lemmy","coyote shivers","zoë poledouris",2001,"English",6.1
4503,"Pink Ribbons, Inc.","léa pool","","","",2011,"English",7.4
4504,"Certifiably Jonathan","james david pasternak","robin williams","sarah silverman","jonathan winters",2007,"English",6.2
4505,"Q","laurent bouhnik","déborah révy","johnny amaro","yassine azzouz",2011,"French",5.6
4506,"The Knife of Don Juan","tom sanchez","nataniel sánchez","antonio arrué","juan carlos montoya",2013,"Spanish",7.2
4507,"Grand Theft Parsons","david caffrey","marley shelton","scott adsit","jim cody williams",2003,"English",6.1
4508,"Extreme Movie","adam jay epstein","rich ceraulo","denise boutte","vanessa lee chester",2008,"English",3.8
4509,"The Charge of the Light Brigade","michael curtiz","errol flynn","david niven","spring byington",1936,"English",7.1
4510,"Below Zero","justin thomas ostensen","michael berryman","kristin booth","michael eisner",2011,"English",4.5
4511,"Crowsnest","brenton spencer","christie burke","victor zinck jr.","chelsey reist",2012,"English",3.8
4512,"Airborne","rob bowman","alanna ubach","jacob vargas","brittney powell",1993,"English",6.2
4513,"Cotton Comes to Harlem","ossie davis","redd foxx","cleavon little","calvin lockhart",1970,"English",6.6
4514,"The Wicked Within","jay alaimo","william mcnamara","sabrina carmichael","patrick muldoon",2015,"English",4.6
4515,"Bleeding Hearts","dylan bank","seregon o'dassey","deirdre lorenz","dustin diamond",2015,"English",4.2
4516,"Waiting...","rob mckittrick","ryan reynolds","dane cook","vanessa lengies",2005,"English",6.8
4517,"Dead Man's Shoes","shane meadows","paddy considine","gary stretch","george newton",2004,"English",7.7
4518,"Wolf Creek","","richard cawthorne","john jarratt","lucy fry",NA,"English",7.1
4519,"From a Whisper to a Scream","jeff burr","terry kiser","clu gulager","susan tyrrell",1987,"English",5.9
4520,"Sex with Strangers","harry gantz","","","",2002,"English",4.7
4521,"Dracula: Pages from a Virgin's Diary","guy maddin","sarah murphy-dyson","cindymarie small","brent neale",2002,"English",7
4522,"Faith Like Potatoes","regardt van den bergh","sean cameron michael","frank rautenbach","jeanne neilson",2006,"Zulu",6.9
4523,"Beyond the Black Rainbow","panos cosmatos","chris gauthier","marilyn norry","eva bourne",2010,"English",6.1
4524,"The Raid: Redemption","gareth evans","iko uwais","yayan ruhian","donny alamsyah",2011,"Indonesian",7.6
4525,"The Dead Undead","matthew r. anderson","johnny pacar","vernon wells","matthew r. anderson",2010,"English",3
4526,"The Vatican Exorcisms","joe marino","piero maggiò","anella vastola","joe marino",2013,"English",2.6
4527,"Casablanca","michael curtiz","humphrey bogart","claude rains","conrad veidt",1942,"English",8.6
4528,"Lake Mungo","joel anderson","talia zucker","rosie traynor","martin sharpe",2008,"English",6.1
4529,"Rocket Singh: Salesman of the Year","shimit amin","ranbir kapoor","shazahn padamsee","gauhar khan",2009,"Hindi",7.5
4530,"Silent Running","douglas trumbull","bruce dern","ron rifkin","jesse vint",1972,"English",6.7
4531,"Rocky","john g. avildsen","sylvester stallone","burgess meredith","carl weathers",1976,"English",8.1
4532,"The Sleepwalker","mona fastvold","christopher abbott","brady corbet","gitte witt",2014,"English",4.9
4533,"The Fog","john carpenter","jamie lee curtis","hal holbrook","janet leigh",1980,"English",6.8
4534,"Tom Jones","tony richardson","albert finney","susannah york","hugh griffith",1963,"English",6.8
4535,"Unfriended","levan gabriadze","shelley hennig","renee olstead","heather sossaman",2014,"English",5.7
4536,"Taxi Driver","martin scorsese","robert de niro","albert brooks","peter boyle",1976,"English",8.3
4537,"The Howling","joe dante","patrick macnee","robert picardo","dee wallace",1981,"English",6.6
4538,"Dr. No","terence young","ursula andress","jack lord","lois maxwell",1962,"English",7.3
4539,"Chernobyl Diaries","bradley parker","jesse mccartney","ingrid bolsø berdal","jonathan sadowski",2012,"English",5
4540,"Hellraiser","clive barker","andrew robinson","ashley laurence","clare higgins",1987,"English",7
4541,"God's Not Dead 2","harold cronk","benjamin a. onyango","robin givens","maria canals-barrera",2016,"English",3.4
4542,"Cry_Wolf","jeff wadlow","julian morris","gary cole","lindy booth",2005,"English",5.9
4543,"Godzilla 2000","takao okawara","hiroshi abe","naomi nishida","sakae kimura",1999,"Japanese",6
4544,"Blue Valentine","derek cianfrance","ryan gosling","mike vogel","john doman",2010,"English",7.4
4545,"Transamerica","duncan tucker","kevin zegers","felicity huffman","paul borghese",2005,"English",7.4
4546,"The Devil Inside","william brent bell","fernanda andrade","claudiu trandafir","brian johnson",2012,"English",4.2
4547,"Beyond the Valley of the Dolls","russ meyer","charles napier","cynthia myers","harrison page",1970,"English",6.2
4548,"Love Me Tender","robert d. webb","james drury","neville brand","debra paget",1956,"English",6.2
4549,"An Inconvenient Truth","davis guggenheim","billy west","al gore","",2006,"English",7.5
4550,"Sands of Iwo Jima","allan dwan","james brown","richard jaeckel","forrest tucker",1949,"English",7.2
4551,"Shine a Light","martin scorsese","mick jagger","keith richards","albert maysles",2008,"English",7.2
4552,"The Green Inferno","eli roth","daryl sabara","richard burgi","magda apanowicz",2013,"English",5.4
4553,"Departure","andrew steggall","juliet stevenson","alex lawther","niamh cusack",2015,"English",7
4554,"The Sessions","ben lewin","w. earl brown","adam arkin","rhea perlman",2012,"English",7.2
4555,"Food, Inc.","robert kenner","michael pollan","eric schlosser","barbara kowalcyk",2008,"English",7.9
4556,"October Baby","andrew erwin","rachel hendrix","robert amaya","jason burkey",2011,"English",6.8
4557,"Next Stop Wonderland","brad anderson","philip seymour hoffman","callie thorne","holland taylor",1998,"English",6.7
4558,"Juno","jason reitman","j.k. simmons","jennifer garner","rainn wilson",2007,"English",7.5
4559,"The Skeleton Twins","craig johnson","ty burrell","boyd holbrook","kathleen rose perkins",2014,"English",6.8
4560,"Martha Marcy May Marlene","sean durkin","christopher abbott","julia garner","brady corbet",2011,"English",6.9
4561,"Obvious Child","gillian robespierre","gaby hoffmann","jenny slate","jake lacy",2014,"English",6.8
4562,"Frozen River","courtney hunt","charlie mcdermott","michael o'keefe","misty upham",2008,"English",7.2
4563,"20 Feet from Stardom","morgan neville","sheryl crow","lou adler","merry clayton",2013,"English",7.4
4564,"Two Girls and a Guy","james toback","robert downey jr.","natasha gregson wagner","angel david",1997,"English",5.6
4565,"Walking and Talking","nicole holofcener","kevin corrigan","anne heche","vincent pastore",1996,"English",6.8
4566,"The Full Monty","peter cattaneo","tom wilkinson","mark addy","lesley sharp",1997,"English",7.2
4567,"Who Killed the Electric Car?","chris paine","ed begley jr.","phyllis diller","colette divine",2006,"English",7.7
4568,"The Broken Hearts Club: A Romantic Comedy","greg berlanti","justin theroux","nia long","mary mccormack",2000,"English",7
4569,"Bubba Ho-Tep","don coscarelli","daniel roebuck","ossie davis","ella joyce",2002,"English",7.2
4570,"Goosebumps","rob letterman","odeya rush","dylan minnette","ken marino",2015,"English",6.4
4571,"Slam","marc levin","sonja sohn","saul williams","bonz malone",1998,"English",7.2
4572,"Brigham City","richard dutcher","wilford brimley","frank gerrish","rick macy",2001,"English",7.2
4573,"Fiza","khalid mohamed","karisma kapoor","manoj bajpayee","jaya bhaduri",2000,"Hindi",6.2
4574,"History of the World: Part I","mel brooks","madeline kahn","sid caesar","dom deluise",1981,"English",6.9
4575,"Orgazmo","trey parker","trey parker","dian bachar","matt stone",1997,"English",6.2
4576,"All the Real Girls","david gordon green","zooey deschanel","paul schneider","shea whigham",2003,"English",6.9
4577,"Dream with the Fishes","finn taylor","david arquette","cathy moriarty","kathryn erbe",1997,"English",7
4578,"Blue Car","karen moncrieff","frances fisher","agnes bruckner","a.j. buckley",2002,"English",6.7
4579,"Luminarias","josé luis valenzuela","cheech marin","lupe ontiveros","robert beltran",2000,"English",3.6
4580,"Palo Alto","gia coppola","james franco","nat wolff","olivia crocicchia",2013,"English",6.3
4581,"Ajami","scandar copti","shahir kabaha","scandar copti","ranin karim",2009,"Arabic",7.4
4582,"Wristcutters: A Love Story","goran dukic","leslie bibb","patrick fugit","chase ellison",2006,"English",7.4
4583,"I Origins","mike cahill","steven yeun","cara seymour","venida evans",2014,"English",7.3
4584,"The Battle of Shaker Heights","efram potelle","shiri appleby","elden henson","kathleen quinlan",2003,"English",6.1
4585,"The Lovely Bones","peter jackson","michael imperioli","aj michalka","tom mccarthy",2009,"English",6.7
4586,"The Act of Killing","joshua oppenheimer","anwar congo","herman koto","syamsul arifin",2012,"Indonesian",8.2
4587,"Taxi to the Dark Side","alex gibney","alex gibney","george w. bush","greg d'agostino",2007,"English",7.7
4588,"Once in a Lifetime: The Extraordinary Story of the New York Cosmos","paul crowder","pelé","marv albert","ahmet ertegun",2006,"English",7.3
4589,"Guiana 1838","rohit jagessar","kumar gaurav","rufus graham","aasheekaa bathija",2004,"English",7.4
4590,"Lisa Picard Is Famous","griffin dunne","mira sorvino","fisher stevens","melissa gilbert",2000,"English",5.7
4591,"Antarctica: A Year on Ice","anthony powell","josh swanson","tom hamann","anthony powell",2013,"English",7.6
